"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2021-09-01,"Sud Kivu","Bukavu","current","3+",50023,0.05
"2",2021-09-01,"Sud Kivu","Idjwi","current","3+",29744,0.1
"3",2021-09-01,"Sud Kivu","Kabare","current","3+",162806,0.15
"4",2021-09-01,"Sud Kivu","Kalehe","current","3+",221274,0.25
"5",2021-09-01,"Sud Kivu","Mwenga","current","3+",117888,0.15
"6",2021-09-01,"Sud Kivu","Uvira","current","3+",179803,0.2
"7",2021-09-01,"Sud Kivu","Shabunda","current","3+",141168,0.2
"8",2021-09-01,"Sud Kivu","Walungu","current","3+",119770,0.15
"9",2021-09-01,"Sud Kivu","Fizi","current","3+",220451,0.25
"10",2021-02-01,"Sud Kivu","Bukavu","current","3+",100046,0.1
"11",2021-02-01,"Sud Kivu","Kabare","current","3+",134501,0.15
"12",2021-02-01,"Sud Kivu","Idjwi","current","3+",44616,0.15
"13",2021-02-01,"Sud Kivu","Walungu","current","3+",148075,0.15
"14",2021-02-01,"Sud Kivu","Uvira","current","3+",224753,0.25
"15",2021-02-01,"Sud Kivu","Fizi","current","3+",308632,0.35
"16",2021-02-01,"Sud Kivu","Shabunda","current","3+",282335,0.4
"17",2021-02-01,"Sud Kivu","Kalehe","current","3+",177019,0.2
"18",2021-02-01,"Sud Kivu","Mwenga","current","3+",196481,0.25
