"","Date of analysis","Level 1","Area","Validity period","Phase","Number","Percentage"
"1",2021-09-01,"Sud Kivu","Bukavu","current","all",1000461,1
"2",2021-09-01,"Sud Kivu","Bukavu","current","3+",50023,0.05
"3",2021-09-01,"Sud Kivu","Bukavu","current","1",400184,0.4
"4",2021-09-01,"Sud Kivu","Bukavu","current","2",550254,0.55
"5",2021-09-01,"Sud Kivu","Bukavu","current","3",50023,0.05
"6",2021-09-01,"Sud Kivu","Bukavu","current","4",0,0
"7",2021-09-01,"Sud Kivu","Bukavu","current","5",0,0
"8",2021-09-01,"Sud Kivu","Idjwi","current","all",297442,1
"9",2021-09-01,"Sud Kivu","Idjwi","current","3+",29744,0.1
"10",2021-09-01,"Sud Kivu","Idjwi","current","1",104105,0.35
"11",2021-09-01,"Sud Kivu","Idjwi","current","2",163593,0.55
"12",2021-09-01,"Sud Kivu","Idjwi","current","3",29744,0.1
"13",2021-09-01,"Sud Kivu","Idjwi","current","4",0,0
"14",2021-09-01,"Sud Kivu","Idjwi","current","5",0,0
"15",2021-09-01,"Sud Kivu","Kabare","current","all",1085376,1
"16",2021-09-01,"Sud Kivu","Kabare","current","3+",162806,0.15
"17",2021-09-01,"Sud Kivu","Kabare","current","1",325613,0.3
"18",2021-09-01,"Sud Kivu","Kabare","current","2",596957,0.55
"19",2021-09-01,"Sud Kivu","Kabare","current","3",162806,0.15
"20",2021-09-01,"Sud Kivu","Kabare","current","4",0,0
"21",2021-09-01,"Sud Kivu","Kabare","current","5",0,0
"22",2021-09-01,"Sud Kivu","Kalehe","current","all",885094,1
"23",2021-09-01,"Sud Kivu","Kalehe","current","3+",221274,0.25
"24",2021-09-01,"Sud Kivu","Kalehe","current","1",221274,0.25
"25",2021-09-01,"Sud Kivu","Kalehe","current","2",442547,0.5
"26",2021-09-01,"Sud Kivu","Kalehe","current","3",177019,0.2
"27",2021-09-01,"Sud Kivu","Kalehe","current","4",44255,0.05
"28",2021-09-01,"Sud Kivu","Kalehe","current","5",0,0
"29",2021-09-01,"Sud Kivu","Mwenga","current","all",785923,1
"30",2021-09-01,"Sud Kivu","Mwenga","current","3+",117888,0.15
"31",2021-09-01,"Sud Kivu","Mwenga","current","1",235777,0.3
"32",2021-09-01,"Sud Kivu","Mwenga","current","2",432258,0.55
"33",2021-09-01,"Sud Kivu","Mwenga","current","3",78592,0.1
"34",2021-09-01,"Sud Kivu","Mwenga","current","4",39296,0.05
"35",2021-09-01,"Sud Kivu","Mwenga","current","5",0,0
"36",2021-09-01,"Sud Kivu","Uvira","current","all",899010,1
"37",2021-09-01,"Sud Kivu","Uvira","current","3+",179803,0.2
"38",2021-09-01,"Sud Kivu","Uvira","current","1",314654,0.35
"39",2021-09-01,"Sud Kivu","Uvira","current","2",404555,0.45
"40",2021-09-01,"Sud Kivu","Uvira","current","3",134852,0.15
"41",2021-09-01,"Sud Kivu","Uvira","current","4",44951,0.05
"42",2021-09-01,"Sud Kivu","Uvira","current","5",0,0
"43",2021-09-01,"Sud Kivu","Shabunda","current","all",705838,1
"44",2021-09-01,"Sud Kivu","Shabunda","current","3+",141168,0.2
"45",2021-09-01,"Sud Kivu","Shabunda","current","1",141168,0.2
"46",2021-09-01,"Sud Kivu","Shabunda","current","2",423503,0.6
"47",2021-09-01,"Sud Kivu","Shabunda","current","3",105876,0.15
"48",2021-09-01,"Sud Kivu","Shabunda","current","4",35292,0.05
"49",2021-09-01,"Sud Kivu","Shabunda","current","5",0,0
"50",2021-09-01,"Sud Kivu","Walungu","current","all",798464,1
"51",2021-09-01,"Sud Kivu","Walungu","current","3+",119770,0.15
"52",2021-09-01,"Sud Kivu","Walungu","current","1",159693,0.2
"53",2021-09-01,"Sud Kivu","Walungu","current","2",519002,0.65
"54",2021-09-01,"Sud Kivu","Walungu","current","3",119770,0.15
"55",2021-09-01,"Sud Kivu","Walungu","current","4",0,0
"56",2021-09-01,"Sud Kivu","Walungu","current","5",0,0
"57",2021-09-01,"Sud Kivu","Fizi","current","all",881807,1
"58",2021-09-01,"Sud Kivu","Fizi","current","3+",220451,0.25
"59",2021-09-01,"Sud Kivu","Fizi","current","1",220452,0.25
"60",2021-09-01,"Sud Kivu","Fizi","current","2",440904,0.5
"61",2021-09-01,"Sud Kivu","Fizi","current","3",176361,0.2
"62",2021-09-01,"Sud Kivu","Fizi","current","4",44090,0.05
"63",2021-09-01,"Sud Kivu","Fizi","current","5",0,0
"64",2021-02-01,"Sud Kivu","Bukavu","current","all",1000461,1
"65",2021-02-01,"Sud Kivu","Bukavu","current","3+",100046,0.1
"66",2021-02-01,"Sud Kivu","Bukavu","current","1",400184,0.4
"67",2021-02-01,"Sud Kivu","Bukavu","current","2",500231,0.5
