"","IdAlert","IdCluster","clusterLabel","event_date","primarySource","axe","secondarySource","AccessRisk","evaluation_status","severity","admin1Label","admin1_Id","admin2Label","admin2_Id","admin3Label","admin4Label","admin_4_Label","admin3_Id","hzLabel","hz_Id","Displaced","Returned","Affected","primarySource_id","descritpion","Alert_detail_id","Crisis_Id","hazard_type"
"1",4777,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Bitobolo, Lweba, Lusenda, Makobola, Mboko","Autorités de base et les organisations de la société civile","Non","En attente d'évaluation","Zone de santé de Nundu. Selon les autorités de base et les organisations de la société civile, près de 2 000 ménages (soit environ 12 500 personnes) sans-abris sont signalés dans plusieurs localités de l’axe Bitobolo, Lweba, Lusenda, Makobola, Mboko et Mukwezi en secteur de Tanganyika, littoral nord du Territoire de Fizi. Ces ménages ont été touchés par les pluies diluviennes enregistrées entre avril et mai 2023. Certaines de ces familles passent des nuits dans des bâtiments publics et d’autres se trouvent dans des familles d’accueil. Ces familles font face à des besoins immédiats en termes de protection, sécurité alimentaire, santé, eau, hygiène et assainissement ainsi que des abris et articles ménagers essentiels. OCHA et partenaires humanitaires se mobilisent pour une évaluation multisectorielle permettant de déterminer les besoins prioritaires en vue d’une réponse immédiate.","Sud-kivu","CD62","Fizi","CD6210","Tanganyika","NULL","NULL","NULL","Nundu","CD6210ZS04",0,0,12500,543,"Zone de santé de Nundu. Selon les autorités de base et les organisations de la société civile, près de 2 000 ménages (soit environ 12 500 personnes) sans-abris sont signalés dans plusieurs localités de l’axe Bitobolo, Lweba, Lusenda, Makobola, Mboko et Mukwezi en secteur de Tanganyika, littoral nord du Territoire de Fizi. Ces ménages ont été touchés par les pluies diluviennes enregistrées entre avril et mai 2023. Certaines de ces familles passent des nuits dans des bâtiments publics et d’autres se trouvent dans des familles d’accueil. Ces familles font face à des besoins immédiats en termes de protection, sécurité alimentaire, santé, eau, hygiène et assainissement ainsi que des abris et articles ménagers essentiels. OCHA et partenaires humanitaires se mobilisent pour une évaluation multisectorielle permettant de déterminer les besoins prioritaires en vue d’une réponse immédiate.",5193,"NULL",NA
"2",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Mutambala","Batombwe","Kakalukulu","CD621005050007","Fizi","CD6210ZS01",0,0,1650,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5185,"NULL",NA
"3",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Mutambala","NULL","NULL","NULL","Nundu","CD6210ZS04",0,0,5000,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5186,"NULL",NA
"4",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Ngandja","Basikalangwa","Kazimia","CD621002020097","Fizi","CD6210ZS01",0,0,21125,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5188,"NULL",NA
"5",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Ngandja","Basikalangwa","Kikonde","CD621002020099","Fizi","CD6210ZS01",0,0,2935,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5189,"NULL",NA
"6",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Mutambala","Basimukuma-sud","Malinde","CD621005040026","Fizi","CD6210ZS01",0,0,2000,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5190,"NULL",NA
"7",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Mutambala","Babwari","Nemba","CD621005010064","Fizi","CD6210ZS01",0,0,1775,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5191,"NULL",NA
"8",4775,10,"Multisectoriel","2023-04-15","Bureau de Coordination des Affaires Humanitaires","Axe Malinde-Sebele-Kikonde","Action Aid, IMC, Oxfam","Non","Evaluation terminée","Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.","Sud-kivu","CD62","Fizi","CD6210","Ngandja","Babungwe-sud","Sebele","CD621002010090","Fizi","CD6210ZS01",0,0,9925,543,"Zone de santé de Fizi : quelques 7 852 ménages (de 37 910 personnes) identifiés comme des sinistrés des pluies abondantes et la montée des eaux du lac Tanganyika d’avril et mai 2023 à Katalukulu, Kazimia, Kikonde, Malinde, Nemba et Sebele, des localités situées sur le littoral sud-est du territoire de Fizi. Ce sont les résultats de la mission d’évaluation multisectorielle conduite du 16 au 23 mai 2023 par OCHA dans ces localités. Cette missions a connu la participation des ONG internationales (ACTION AID, IMC ET OXFAM) et nationales (AIDES, ADED, AFPDE, CODEVAH, FECONDE, GRAD, HELP CHANNEL CONGO, KUA, LVM, POPOLI FRATELLI, SAD, SOFIBEF et UPROS) ainsi que du représentant de l’Administrateur du Territoire de Fizi. Le rapport de la mission note la destruction des cultures dans les champs inondés sur une superficie estimée à 971 hectares, le décès d’une vingtaine de personnes à la suite du glissement des terres, la destruction d’une trentaine d’écoles primaires et de 1604 latrines familiales. Le rapport souligne les besoins prioritaires comprenant l’accès à l’eau potable et aux infrastructures d’assainissement, des soins médicaux pour les personnes sinistrées et blessées, de l’assistance alimentaire pour les familles sinistrées, des articles non alimentaires et abris pour les ménages qui ont perdu leur maison dont les uns se trouvent en familles d’accueil, les autre dans des lieux publics (écoles, églises, etc.). OCHA mobilise les acteurs humanitaires pour apporter une réponse de qualité aux personnes rendues vulnérables à la suite de cette catastrophe naturelle.",5192,"NULL",NA
"9",4752,10,"Multisectoriel","2023-05-02","Transcultural Psychosocial Organisation","Luzira, Bushushu et Nyamukubi","Caritas locale, société civile et l'antenne humanitaire de Kalehe","Non","Evaluation terminée","A la suite des fortes pluies abattues à Luzira 02 mai et à Bushushu et Nyamukubi le 4 mai, les rivières ont connu une crue, suivie d'une coulée de boue et des pierres. Cette situation a causé des dégâts matériels et des pertes en vies humaines. Selon les sources concordantes y compris les ONG nationales, le bilan provisoire ferait état de plus 100 morts, environs 250 blessés et près de 200 personnes portées disparues (non encore retrouvées). Aussi, plusieurs écoles et plus de 500 maisons seraient emportées. Plus de 1 000 ménages se retrouveraient ainsi sans abris. Les rescapés (qui ont perdu leurs maisons) auraient trouvé refuge dans les villages de Chofi, Kasheke et Bulanga dans le groupement de Mbinga-Sud.","Sud-kivu","CD62","Kalehe","CD6205","Buhavu","Mbinga-sud","NULL","NULL","Kalehe","CD6205ZS02",5000,0,0,682,"A la suite des fortes pluies abattues à Luzira 02 mai et à Bushushu et Nyamukubi le 4 mai, les rivières ont connu une crue, suivie d'une coulée de boue et des pierres. Cette situation a causé des dégâts matériels et des pertes en vies humaines. Selon les sources concordantes y compris les ONG nationales, le bilan provisoire ferait état de plus 100 morts, environs 250 blessés et près de 200 personnes portées disparues (non encore retrouvées). Aussi, plusieurs écoles et plus de 500 maisons seraient emportées. Plus de 1 000 ménages se retrouveraient ainsi sans abris. Les rescapés (qui ont perdu leurs maisons) auraient trouvé refuge dans les villages de Chofi, Kasheke et Bulanga dans le groupement de Mbinga-Sud.",5155,"NULL",NA
"10",4737,10,"Multisectoriel","2023-04-23","Bureau de Coordination des Affaires Humanitaires","na","les autorités locales","Non","En attente d'évaluation","De nouvelles inondations, après celles du 17 au 19 avril, sont survenues ce dimanche 23 avril à Uvira après la crue de la rivière Kalimabenge. Cette catastrophe a, de nouveau, jeté de nombreux ménages dans la rue aux quartiers Kilibula, Nyamianda et Kabindula. On compte 780 ménages sans abris, trois personnes ont trouvé la mort suite à ces inondations, une autre personne disparue, 600 maisons complétement détruites et 180 autres maisons sont inondées d’eau et de boue. Des centaines de ménages sont dans les familles d’accueil. Le pont sur la rivière Kalimabenge menace de s’écrouler depuis la première inondation survenue entre le 17 et 19 avril 2023 car des affaissements sont maintenant visibles en dessous de ce pont qui relie Uvira à Baraka sur la RN5. Pour les habitants de la ville d’Uvira, la désolation est grande car la ville est en train de disparaître petit à petit, des érosions sont partout dans les quartiers et sur les artères principales de la ville. Les autorités de la mairie regardent impuissamment arriver cette catastrophe et sont dépourvues de tout moyen d’intervention","Sud-kivu","CD62","Uvira","CD6208","NULL","NULL","NULL","NULL","Uvira","CD6208ZS04",3900,0,0,543,"De nouvelles inondations, après celles du 17 au 19 avril, sont survenues ce dimanche 23 avril à Uvira après la crue de la rivière Kalimabenge. Cette catastrophe a, de nouveau, jeté de nombreux ménages dans la rue aux quartiers Kilibula, Nyamianda et Kabindula. On compte 780 ménages sans abris, trois personnes ont trouvé la mort suite à ces inondations, une autre personne disparue, 600 maisons complétement détruites et 180 autres maisons sont inondées d’eau et de boue. Des centaines de ménages sont dans les familles d’accueil. Le pont sur la rivière Kalimabenge menace de s’écrouler depuis la première inondation survenue entre le 17 et 19 avril 2023 car des affaissements sont maintenant visibles en dessous de ce pont qui relie Uvira à Baraka sur la RN5. Pour les habitants de la ville d’Uvira, la désolation est grande car la ville est en train de disparaître petit à petit, des érosions sont partout dans les quartiers et sur les artères principales de la ville. Les autorités de la mairie regardent impuissamment arriver cette catastrophe et sont dépourvues de tout moyen d’intervention",5135,"NULL",NA
