,,,,,,NUTRITION,,,,,,,,
Province,Code Province,Territoire,Code Terrtoire,Zone de sante,Pcode ZS,CH1: Besoins vitaux,CH2: Conditions de vie,PIN PRIORISE,OS1: Besoins vitaux,OS2: Conditions de vie,CIBLE PRIORISE,OS1: Besoins vitaux,OS2: Conditions de vie,BUDGET
#adm1+name,#adm1+code,#adm2+name,#adm2+code,,,,,,,,,,,
Sud-Kivu,CD62,Bukavu,CD6201,Bagira,CD6201ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Bukavu,CD6201,Ibanda,CD6201ZS02,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Bukavu,CD6201,Kadutu,CD6201ZS03,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Kabare,CD6202,Kabare,CD6202ZS01,29105,19792,42413,27117,13855,40972,3082004,277100,3359104
Sud-Kivu,CD62,Kabare,CD6202,Kaniola,CD6202ZS02,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Kabare,CD6202,Katana,CD6202ZS03,48421,19220,35517,27044,13454,40498,1818564,269080,2087644
Sud-Kivu,CD62,Kabare,CD6202,Miti-Murhesa,CD6202ZS04,54159,22008,39378,0,0,0,0,0,0
Sud-Kivu,CD62,Kabare,CD6202,Nyantende,CD6202ZS05,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Shabunda,CD6203,Kalole,CD6203ZS01,4307,11175,13229,3539,7823,11362,248503,156460,404963
Sud-Kivu,CD62,Shabunda,CD6203,Lulingu,CD6203ZS02,38672,14963,28628,20652,10475,31127,2010325,209500,2219825
Sud-Kivu,CD62,Shabunda,CD6203,Mulungu,CD6203ZS03,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Shabunda,CD6203,Shabunda,CD6203ZS04,6515,16942,20041,5355,11860,17215,375273,237200,612473
Sud-Kivu,CD62,Kalehe,CD6205,Bunyakiri,CD6205ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Kalehe,CD6205,Kalehe,CD6205ZS02,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Kalehe,CD6205,Kalonge,CD6205ZS03,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Kalehe,CD6205,Minova,CD6205ZS04,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Idjwi,CD6206,Idjwi,CD6206ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Walungu,CD6207,Kaziba,CD6207ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Walungu,CD6207,Mubumbano,CD6207ZS02,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Walungu,CD6207,Nyangezi,CD6207ZS03,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Walungu,CD6207,Walungu,CD6207ZS04,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Uvira,CD6208,Hauts-Plateaux,CD6208ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Uvira,CD6208,Lemera,CD6208ZS02,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Uvira,CD6208,Ruzizi,CD6208ZS03,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Uvira,CD6208,Uvira,CD6208ZS04,11040,29046,34230,9090,20333,29423,630416,406660,1037076
Sud-Kivu,CD62,Fizi,CD6210,Fizi,CD6210ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Fizi,CD6210,Kimbi Lulenge,CD6210ZS02,6608,16979,20164,5389,11886,17275,379461,237720,617181
Sud-Kivu,CD62,Fizi,CD6210,Minembwe,CD6210ZS03,17716,7474,12694,8687,5232,13919,877028,104640,981668
Sud-Kivu,CD62,Fizi,CD6210,Nundu,CD6210ZS04,44257,17744,32341,22978,12421,35399,2145948,248420,2394368
Sud-Kivu,CD62,Mwenga,CD6212,Itombwe,CD6212ZS01,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Mwenga,CD6212,Kamituga,CD6212ZS02,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Mwenga,CD6212,Kitutu,CD6212ZS03,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Mwenga,CD6212,Mwana,CD6212ZS04,0,0,0,0,0,0,0,0,0
Sud-Kivu,CD62,Mwenga,CD6212,Mwenga,CD6212ZS05,32198,12282,23955,17393,8598,25991,1622313,171960,1794273
