Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,all,1326304,1
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,3+,397891,0.3
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,1,397891,0.3
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,2,530521,0.4
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,3,331576,0.25
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,4,66315,0.05
4/1/2023,COD,109569000,Sud-Ubangi,Gemena,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,all,686468,1
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,3+,102970,0.15
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,1,308910,0.45
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,2,274587,0.4
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,3,102970,0.15
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Sud-Ubangi,Budjala,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,all,521608,1
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,3+,182562,0.35
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,1,78241,0.15
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,2,260804,0.5
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,3,156482,0.3
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,4,26080,0.05
4/1/2023,COD,109569000,Sud-Ubangi,Kungu,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,all,445924,1
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,3+,133777,0.3
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,1,111481,0.25
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,2,200665,0.45
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,3,111481,0.25
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,4,22296,0.05
4/1/2023,COD,109569000,Sud-Ubangi,Libenge,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,all,87457,1
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,3+,26236,0.3
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,1,21864,0.25
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,2,39355,0.45
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,3,21864,0.25
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,4,4372,0.05
4/1/2023,COD,109569000,Sud-Ubangi,Zongo,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,all,404677,1
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,3+,161870,0.4
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,1,80935,0.2
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,2,161870,0.4
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,3,161870,0.4
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,4,0,0
4/1/2023,COD,109569000,Kasaï Central,Dimbelenge,projected,1/1/2023,6/30/2023,5,0,0
4/1/2023,COD,109569000,Kasaï Central,Demba,projected,1/1/2023,6/30/2023,all,704132,1
4/1/2023,COD,109569000,Kasaï Central,Demba,projected,1/1/2023,6/30/2023,3+,352065,0.5
4/1/2023,COD,109569000,Kasaï Central,Demba,projected,1/1/2023,6/30/2023,1,105619,0.15
